,Artist,Album,Genre,Label,BNM,Year,Author,Title,Date,Score,Original_Year,Review_Year,New_Album,Article_Length
12807,Orion Rigel Dommisse,What I Want From You Is Sweet,Folk/Country,Language of Stone,Not Available,2007,Evan McGarvey,Not Available,2008-05-07,6.4,2007.0,2008,1,3351
12808,Tickley Feather,Tickley Feather,Rock,Paw Tracks,Not Available,2008,Joshua Love,Contributor,2008-05-07,6.7,2008.0,2008,1,2399
12810,Robert Forster,The Evangelist,Folk/Country,Yep Roc,Not Available,2008,Joshua Klein,Not Available,2008-05-07,7.6,2008.0,2008,1,3504
12811,Santogold,Santogold,Pop/R&B,Atlantic,Not Available,2008,Tom Ewing,Contributor,2008-05-07,7.1,2008.0,2008,1,4276
12813,Kassin + 2,Futurismo,Rock,Luaka Bop,Not Available,2008,Joshua Klein,Not Available,2008-05-06,7.5,2008.0,2008,1,3891
12814,Sun City Girls,"You're Never Alone with a Cigarette (Singles, Vol. 1)",Rock,Abduction,Not Available,2008,Mike McGonigal,Contributor,2008-05-06,8.2,2008.0,2008,1,3842
12815,The Tallest Man on Earth,Shallow Grave,Folk/Country,Gravitation,Not Available,2008,Amanda Petrusich,Contributor,2008-05-06,8.3,2008.0,2008,1,2952
12816,Animal Collective,Water Curses EP,Experimental,Domino,Not Available,2008,Mark Richardson,Contributor,2008-05-06,7.3,2008.0,2008,1,3676
12817,Dead Child,Attack,Rock,Quarterstick,Not Available,2008,Robbie Mackey,Not Available,2008-05-05,4.4,2008.0,2008,1,2636
12818,Head of Femur,Great Plains,Rock,Greyday,Not Available,2008,Joe Tangari,Contributor,2008-05-05,7.3,2008.0,2008,1,2612
12819,13ghosts,The Strangest Colored Lights,Rock,Skybucket,Not Available,2008,Stephen M. Deusner,Contributor,2008-05-05,7.6,2008.0,2008,1,3800
12820,Blitzen Trapper,EP,Rock,Self-released,Not Available,2008,Jason Crock,Not Available,2008-05-05,7.0,2008.0,2008,1,3727
12821,No Age,Nouns,Rock,Sub Pop,Best new music,2008,Amanda Petrusich,Contributor,2008-05-05,9.2,2008.0,2008,1,4036
12822,Robert Hood,Fabric 39,Electronic,Fabric,Not Available,2008,Tim Finney,Contributor,2008-05-02,7.3,2008.0,2008,1,6056
12824,Atmosphere,"When Life Gives You Lemons, You Paint That Shit Gold",Rap,Rhymesayers,Not Available,2008,Roque Strew,Not Available,2008-05-02,7.0,2008.0,2008,1,4721
12825,Fairport Convention,What We Did on Our Holidays,Rock,Hannibal,Not Available,1969/2008,Stephen M. Deusner,Contributor,2008-05-02,8.8,1969.0,2008,0,4380
12826,Boris,Smile,Metal,Diwphalanx,Not Available,2008,Zach Baron,Not Available,2008-05-02,6.4,2008.0,2008,1,5395
12827,Chicha Libre,¡Sonido Amazonico!,Rock,Barbès,Not Available,2008,Joe Tangari,Contributor,2008-05-01,7.9,2008.0,2008,1,5387
12828,Southeast Engine,A Wheel Within a Wheel,Rock,Misra,Not Available,2007,Joshua Klein,Not Available,2008-05-01,7.1,2007.0,2008,1,4673
12829,New Bloods,The Secret Life,Rock,Kill Rock Stars,Not Available,2008,D. Shawn Bosler,Not Available,2008-05-01,7.6,2008.0,2008,1,2960
12830,Tindersticks,The Hungry Saw,Rock,Beggars Banquet,Not Available,2008,Stuart Berman,Contributor,2008-05-01,7.1,2008.0,2008,1,5418
12831,Les Savy Fav,After the Balls Drop,Rock,Frenchkiss,Not Available,2008,David Raposa,Contributor,2008-05-01,6.4,2008.0,2008,1,3931
12832,Singer,Unhistories,Rock,Drag City,Not Available,2008,David Raposa,Contributor,2008-04-30,6.2,2008.0,2008,1,3130
12833,Cub,Box of Hair,Rock,Lookout!,Not Available,1996/2008,Marc Hogan,Senior Staff Writer,2008-04-30,7.6,1996.0,2008,0,3361
12834,Jucifer,L'autrichienne,Metal,Relapse,Not Available,2008,Cosmo Lee,Not Available,2008-04-30,8.0,2008.0,2008,1,3088
12835,Joy Division,The Best of Joy Division,Rock,Rhino,Not Available,2008,Marc Masters,Contributor,2008-04-30,6.0,2008.0,2008,0,2474
12836,Jamie Lidell,Jim,Pop/R&B,Warp,Not Available,2008,Philip Sherburne,Contributing Editor,2008-04-30,7.9,2008.0,2008,1,7280
12837,Neptune,Gong Lake,Experimental,Table of the Elements,Not Available,2008,Jason Crock,Not Available,2008-04-29,7.0,2008.0,2008,1,3057
12838,Antietam,Opus Mixtum,Rock,Carrot Top,Not Available,2008,Joshua Klein,Not Available,2008-04-29,6.4,2008.0,2008,1,3518
12839,Karl Blau,AM,Folk/Country,Whistler,Not Available,2008,Mike McGonigal,Contributor,2008-04-29,7.8,2008.0,2008,1,3559
12840,Constantines,Kensington Heights,Rock,Arts & Crafts,Not Available,2008,Jason Crock,Not Available,2008-04-29,6.6,2008.0,2008,1,3340
12841,The Roots,Rising Down,Rap,Def Jam,Not Available,2008,Nate Patrin,Contributor,2008-04-29,7.8,2008.0,2008,1,6230
12842,Russian Circles,Station,Metal,Suicide Squeeze,Not Available,2008,Cosmo Lee,Not Available,2008-04-28,6.9,2008.0,2008,1,2737
12843,Evangelista,"Hello, Voyager",Experimental,Constellation,Not Available,2008,Adam Moerder,Not Available,2008-04-28,7.0,2008.0,2008,1,3098
12844,Madonna,Hard Candy,Pop/R&B,Warner Bros.,Not Available,2008,Tom Ewing,Contributor,2008-04-28,5.3,2008.0,2008,1,3379
12845,Portishead,Third,Electronic,Island,Best new music,2008,Nate Patrin,Contributor,2008-04-28,8.8,2008.0,2008,1,5312
12846,South,You Are Here,Rock,Bluhammock Music,Not Available,2008,Ian Cohen,Contributor,2008-04-28,4.8,2008.0,2008,1,4354
12847,Ladyhawk,Shots,Rock,Jagjaguwar,Not Available,2008,Andrew Gaerig,Contributor,2008-04-25,6.2,2008.0,2008,1,3628
12849,Wye Oak,If Children,Rock,Merge,Not Available,2007/2008,Mike Powell,Contributor,2008-04-25,7.1,2007.0,2008,1,3155
12850,Love,Forever Changes [Collector's Edition],Rock,Elektra,Not Available,1967/2008,Stephen M. Deusner,Contributor,2008-04-25,8.6,1967.0,2008,0,5993
12851,Titus Andronicus,The Airing of Grievances,Rock,Troubleman Unlimited,Best new music,2008,Adam Moerder,Not Available,2008-04-25,8.5,2008.0,2008,1,4081
12852,Toumast,Ishumar,Folk/Country,Realworld,Not Available,2008,Joe Tangari,Contributor,2008-04-24,8.0,2008.0,2008,1,4026
12853,Ellen Allien,Boogybytes Vol. 04,Electronic,Bpitch Control,Not Available,2008,Andrew Gaerig,Contributor,2008-04-24,6.1,2008.0,2008,1,2992
12854,Billy Bragg,Mr. Love & Justice,Rock,Anti-,Not Available,2008,Joshua Klein,Not Available,2008-04-24,6.5,2008.0,2008,1,3428
12856,Air,Moon Safari - 10th Anniversary Edition,Electronic,Astralwerks,Not Available,1998/2008,Mark Pytlik,Contributor,2008-04-24,5.6,1998.0,2008,0,4196
12857,Pete Rock,NY's Finest,Rap,Nature Sounds,Not Available,2008,Evan McGarvey,Not Available,2008-04-23,6.8,2008.0,2008,1,2319
12858,diskJokke,Staying In,Pop/R&B,Smalltown Supersound,Not Available,2008,Brian Howe,Contributor,2008-04-23,8.0,2008.0,2008,1,3183
12859,Tokyo Police Club,Elephant Shell,Electronic,Saddle Creek,Not Available,2008,Adam Moerder,Not Available,2008-04-23,6.3,2008.0,2008,1,3481
12860,Spoon,Don't You Evah EP,Rock,Merge,Not Available,2008,Ryan Dombal,Senior Editor,2008-04-23,6.7,2008.0,2008,1,4661
12861,Gossip,Live in Liverpool,Electronic,Music With a Twist,Not Available,2008,Rebecca Raber,Not Available,2008-04-23,6.9,2008.0,2008,1,3818
12863,Pants Yell!,Alison Statton,Rock,Soft Abuse,Not Available,2008,Marc Hogan,Senior Staff Writer,2008-04-22,7.5,2008.0,2008,0,2756
12864,Mantronix,Mantronix: The Album [Deluxe Edition],Electronic,Sleeping Bag,Not Available,1985/2008,Nate Patrin,Contributor,2008-04-22,8.1,1985.0,2008,0,4936
12865,Flight of the Conchords,Flight of the Conchords,Rock,Sub Pop,Not Available,2008,Chris Dahlen,Not Available,2008-04-22,7.2,2008.0,2008,1,3979
12866,The Last Shadow Puppets,The Age of the Understatement,Rock,Domino,Not Available,2008,Marc Hogan,Senior Staff Writer,2008-04-22,7.7,2008.0,2008,1,5525
12867,Fancey,Schmancey,Rock,What Are,Not Available,2007,Joshua Klein,Not Available,2008-04-21,6.9,2007.0,2008,1,2745
12868,Idol Fodder,Bäbytalk,Rock,Slender Means Society,Not Available,2008,Brian Howe,Contributor,2008-04-21,7.7,2008.0,2008,1,3589
12870,The Replacements,"Sorry Ma, Forgot to Take Out the Trash",Rock,Rhino,Not Available,2008,Mark Richardson,Contributor,2008-04-21,9.4,2008.0,2008,0,9343
12871,The Teenagers,Reality Check,Pop/R&B,Merok,Not Available,2008,Marc Hogan,Senior Staff Writer,2008-04-21,6.9,2008.0,2008,1,3220
12872,Capillary Action,So Embarrassing,Jazz,Pangaea,Not Available,2008,Joe Tangari,Contributor,2008-04-18,7.3,2008.0,2008,1,2459
12873,eMC,The Show,Rap,M3,Not Available,2008,Ben Westhoff,Contributor,2008-04-18,7.9,2008.0,2008,1,3389
12874,The Plastic Constellations,We Appreciate You,Rock,Frenchkiss,Not Available,2008,Zach Baron,Not Available,2008-04-18,7.1,2008.0,2008,1,3230
12875,Magnetic Morning,Magnetic Morning EP,Rock,iTunes,Not Available,2008,Nitsuh Abebe,Contributor,2008-04-18,3.8,2008.0,2008,1,2962
12876,Nadja,Skin Turns to Glass,Electronic,NOTHingness,Not Available,2003/2008,Cosmo Lee,Not Available,2008-04-18,7.0,2003.0,2008,0,3032
12877,Naked on the Vague,The Blood Pressure Sessions,Experimental,Dual Plover,Not Available,2007/2008,Aaron Leitko,Contributor,2008-04-17,7.3,2007.0,2008,1,3445
12878,Autistic Daughters,Uneasy Flowers,Experimental,Kranky,Not Available,2008,Marc Masters,Contributor,2008-04-17,7.4,2008.0,2008,1,2446
12879,Orchestral Manoeuvres in the Dark,Dazzle Ships,Electronic,Virgin,Not Available,1983/2008,Tom Ewing,Contributor,2008-04-17,8.4,1983.0,2008,0,3615
12880,Black Francis,SVN FNGRS,Rock,Cooking Vinyl,Not Available,2008,Joe Tangari,Contributor,2008-04-17,6.8,2008.0,2008,1,3068
12881,The Kooks,Konk,Electronic,Astralwerks,Not Available,2008,Ian Cohen,Contributor,2008-04-17,4.9,2008.0,2008,1,4086
12882,Colour Revolt,"Plunder, Beg, and Curse",Rock,Fat Possum,Not Available,2008,Jason Crock,Not Available,2008-04-16,5.8,2008.0,2008,1,2575
12883,De Novo Dahl,"Move Every Muscle, Make Every Sound",Rock,Roadrunner,Not Available,2008,Joe Tangari,Contributor,2008-04-16,7.0,2008.0,2008,1,3199
12884,Elbow,The Seldom Seen Kid,Rock,Geffen,Not Available,2008,Joshua Klein,Not Available,2008-04-16,7.8,2008.0,2008,1,4113
12885,Guillemots,Red,Rock,Polydor,Not Available,2008,Chris Dahlen,Not Available,2008-04-16,5.8,2008.0,2008,1,3464
12886,Muse,H.A.A.R.P.,Rock,Warner Bros.,Not Available,2008,Ian Cohen,Contributor,2008-04-16,6.5,2008.0,2008,1,5636
12887,Division Day,Beartrap Island,Rock,Eenie Meenie,Not Available,2007,Stuart Berman,Contributor,2008-04-15,6.1,2007.0,2008,1,3054
12889,Toumani Diabaté,The Mande Variations,Folk/Country,World Circuit,Not Available,2008,Joshua Klein,Not Available,2008-04-15,8.3,2008.0,2008,1,3289
12890,Sally Shapiro,Remix Romance Vol. 1,Electronic,Paper Bag,Not Available,2008,Marc Hogan,Senior Staff Writer,2008-04-15,7.6,2008.0,2008,1,4086
12891,M83,Saturdays=Youth,Electronic,Mute,Best new music,2008,Brian Howe,Contributor,2008-04-15,8.5,2008.0,2008,1,4120
12892,Groove Armada,Soundboy Rock,Electronic,Sony,Not Available,2007,Tom Ewing,Contributor,2008-04-14,5.8,2007.0,2008,1,3125
12893,The Selmanaires,The Air Salesmen,Rock,International Hits,Not Available,2008,Adam Moerder,Not Available,2008-04-14,6.8,2008.0,2008,1,2693
12894,Frightened Rabbit,Midnight Organ Fight,Rock,Fat Cat,Not Available,2008,Rebecca Raber,Not Available,2008-04-14,8.1,2008.0,2008,1,3774
12895,Cut Copy,In Ghost Colours,Rock,Interscope,Best new music,2008,Mark Pytlik,Contributor,2008-04-14,8.8,2008.0,2008,1,3905
12897,Cloud Cult,Feel Good Ghosts (Tea-Partying Through Tornadoes),Experimental,Earthology,Not Available,2008,Ian Cohen,Contributor,2008-04-11,4.2,2008.0,2008,1,5306
12898,Someone Still Loves You Boris Yeltsin,Pershing,Rock,Polyvinyl,Not Available,2008,Ian Cohen,Contributor,2008-04-11,6.2,2008.0,2008,1,2896
12899,The Helio Sequence,Keep Your Eyes Ahead,Rock,Sub Pop,Not Available,2008,Andrew Gaerig,Contributor,2008-04-11,7.6,2008.0,2008,1,3202
12900,The Long Blondes,"""Couples""",Electronic,Rough Trade,Not Available,2008,Ryan Dombal,Senior Editor,2008-04-11,5.8,2008.0,2008,1,5949
12901,Sun Kil Moon,April,Folk/Country,Caldo Verde,Not Available,2008,Stephen M. Deusner,Contributor,2008-04-11,8.3,2008.0,2008,0,6055
12902,The Duke Spirit,Neptune,Electronic,You Are Here,Not Available,2008,Adam Moerder,Not Available,2008-04-10,6.2,2008.0,2008,1,3074
12903,Strategy,Music for Lamping,Experimental,Audio Dregs,Not Available,2008,Mike Orme,Not Available,2008-04-10,7.5,2008.0,2008,1,3479
12904,Foals,Antidotes,Rock,Sub Pop,Not Available,2008,Tom Ewing,Contributor,2008-04-10,5.9,2008.0,2008,1,3875
12905,Tapes 'n Tapes,Walk It Off,Experimental,XL,Not Available,2008,Adam Moerder,Not Available,2008-04-10,5.9,2008.0,2008,1,4091
12907,Arp,In Light,Electronic,Smalltown Supersound,Not Available,2007,Mark Richardson,Contributor,2008-04-09,7.6,2007.0,2008,1,3403
12908,Kathleen Edwards,Asking for Flowers,Rock,Zoe,Not Available,2008,Stephen M. Deusner,Contributor,2008-04-09,7.9,2008.0,2008,1,3163
12909,The Breeders,Mountain Battles,Rock,4AD,Not Available,2008,Stuart Berman,Contributor,2008-04-09,7.5,2008.0,2008,1,4940
12910,Sun City Girls,Piasa...Devourer of Men,Rock,Abduction,Not Available,1994/2007,Mike Powell,Contributor,2008-04-09,7.0,1994.0,2008,0,3969
12911,Peter Morén,The Last Tycoon,Rock,Wichita,Not Available,2008,Marc Hogan,Senior Staff Writer,2008-04-09,5.4,2008.0,2008,1,4178
12912,The Felice Brothers,The Felice Brothers,Rock,Team Love,Not Available,2008,Joshua Klein,Not Available,2008-04-08,5.5,2008.0,2008,1,3981
12914,James Brown,"The Singles, Volume Five: 1967-1969",Rock,Hip-O Select,Not Available,2008,Douglas Wolk,Contributor,2008-04-08,7.9,2008.0,2008,1,3739
12915,Man Man,Rabbit Habits,Experimental,Anti-,Not Available,2008,Adam Moerder,Not Available,2008-04-08,8.0,2008.0,2008,1,3645
12916,Colin Meloy,Sings Live!,Rock,Kill Rock Stars,Not Available,2008,Brian Howe,Contributor,2008-04-08,6.5,2008.0,2008,1,4298
12918,Collections of Colonies of Bees,Birds,Rock,Table of the Elements,Not Available,2008,Roque Strew,Not Available,2008-04-07,7.8,2008.0,2008,1,3881
12920,Clinic,Do It!,Electronic,Domino,Not Available,2008,Nate Patrin,Contributor,2008-04-07,7.7,2008.0,2008,1,4644
12921,Nick Cave & the Bad Seeds,Dig!!! Lazarus Dig!!!,Rock,Anti-,Not Available,2008,Stephen M. Deusner,Contributor,2008-04-07,8.4,2008.0,2008,1,5244
12922,John Maus,Love Is Real,Experimental,Upset the Rhythm,Not Available,2007,Aaron Leitko,Contributor,2008-04-04,6.4,2007.0,2008,1,2741
12923,In Flames,A Sense of Purpose,Metal,Koch,Not Available,2008,Cosmo Lee,Not Available,2008-04-04,7.0,2008.0,2008,1,3151
12924,Pete & the Pirates,Little Death,Rock,Stolen,Not Available,2008,Amy Granzin,Contributor,2008-04-04,8.0,2008.0,2008,1,3146
12925,Willie Nelson,One Hell of a Ride,Rock,Columbia,Not Available,2008,Stephen M. Deusner,Contributor,2008-04-04,8.6,2008.0,2008,0,5043
12926,The Microphones,The Glow Pt. 2,Experimental,K,Not Available,2001/2008,Brian Howe,Contributor,2008-04-04,9.3,2001.0,2008,0,3758
12927,Webbie,Savage Life 2,Rap,Trill Entertainment,Not Available,2008,Evan McGarvey,Not Available,2008-04-03,5.8,2008.0,2008,1,4078
12929,The 1900s,Cold & Kind,Rock,Parasol,Not Available,2007,Jessica Suarez,Contributor,2008-04-03,7.9,2007.0,2008,1,2117
12930,The Apples in Stereo,Electronic Projects for Musicians,Experimental,Elephant Six,Not Available,2008,Joe Tangari,Contributor,2008-04-03,6.5,2008.0,2008,1,3389
12931,Moby,Last Night,Electronic,Mute,Not Available,2008,Joshua Klein,Not Available,2008-04-03,5.2,2008.0,2008,1,4287
12932,Bell X1,Flock,Rock,Interscope,Not Available,2006/2008,Ian Cohen,Contributor,2008-04-02,2.2,2006.0,2008,0,3083
12934,Ministry,Cover Up,Electronic,13th Planet,Not Available,2008,Cosmo Lee,Not Available,2008-04-02,7.5,2008.0,2008,1,3320
12935,Sian Alice Group,59.59,Experimental,Social Registry,Not Available,2008,Stuart Berman,Contributor,2008-04-02,7.7,2008.0,2008,1,2886
12936,Nine Inch Nails,Ghosts I-IV,Rock,The Null Corporation,Not Available,2008,Tom Breihan,Contributor,2008-04-02,5.0,2008.0,2008,1,4800
12937,Solvent,Demonstration Tape (1997-2007),Electronic,Ghostly,Not Available,2007,Mike Orme,Not Available,2008-04-01,6.8,2007.0,2008,1,2541
12938,"Earth, Roots and Water",Innocent Youths,Global,Summer,Not Available,1977/2008,Joe Tangari,Contributor,2008-04-01,7.3,1977.0,2008,0,3288
12939,Lyrics Born,Everywhere at Once,Pop/R&B,Anti-,Not Available,2008,Nate Patrin,Contributor,2008-04-01,7.8,2008.0,2008,1,4971
12940,The Black Keys,Attack & Release,Rock,Nonesuch,Not Available,2008,Roque Strew,Not Available,2008-04-01,7.5,2008.0,2008,1,3367
12941,The Raconteurs,Consolers of the Lonely,Rock,Warner Bros.,Not Available,2008,Jason Crock,Not Available,2008-04-01,7.4,2008.0,2008,1,3826
12942,Sera Cahoone,Only as the Day Is Long,Rock,Sub Pop,Not Available,2008,Joshua Love,Contributor,2008-03-31,7.0,2008.0,2008,1,2948
12943,Big Dipper,Supercluster: The Big Dipper Anthology,Rock,Merge,Not Available,2008,David Raposa,Contributor,2008-03-31,7.8,2008.0,2008,0,5276
12944,Melchior Productions,No Disco Future,Electronic,Perlon,Not Available,2007,Philip Sherburne,Contributing Editor,2008-03-31,8.6,2007.0,2008,1,6692
12945,Simon & Garfunkel,Live 1969,Rock,Columbia,Not Available,2008,Stephen M. Deusner,Contributor,2008-03-31,7.9,2008.0,2008,1,4618
12946,R.E.M.,Accelerate,Rock,Warner Bros.,Not Available,2008,Joshua Klein,Not Available,2008-03-31,6.7,2008.0,2008,1,4837
12947,Rick Ross,Trilla,Rap,Def Jam,Not Available,2008,Evan McGarvey,Not Available,2008-03-28,2.4,2008.0,2008,1,2803
12948,Lazarus,Hawk Medicine,Metal,Temporary Residence,Not Available,2007,Joshua Klein,Not Available,2008-03-28,7.4,2007.0,2008,1,2855
12949,Excepter,Debt Dept,Experimental,Paw Tracks,Not Available,2008,Marc Masters,Contributor,2008-03-28,7.8,2008.0,2008,1,3081
12950,Junior Boys,Body Language 6,Electronic,Get Physical,Not Available,2008,Mark Pytlik,Contributor,2008-03-28,7.4,2008.0,2008,1,3872
12951,The Lemonheads,It's a Shame About Ray [Collector's Edition],Rock,Atlantic,Not Available,1992/2008,Stephen M. Deusner,Contributor,2008-03-28,8.4,1992.0,2008,0,4932
12952,Kate Maki,On High,Rock,Ow Om,Not Available,2008,Stephen M. Deusner,Contributor,2008-03-27,6.5,2008.0,2008,1,2887
12953,JarboeJustin K. Broadrick,J2,Electronic,The End,Not Available,2008,D. Shawn Bosler,Not Available,2008-03-27,7.7,2008.0,2008,1,4309
12954,Yellow Swans,At All Ends,Experimental,Load,Not Available,2007,Marc Masters,Contributor,2008-03-27,8.6,2007.0,2008,1,2601
12955,Carl Craig,Sessions,Electronic,!K7,Not Available,2008,Andy Battaglia,Not Available,2008-03-27,9.0,2008.0,2008,1,3078
12956,The B-52’s,Funplex,Electronic,Astralwerks,Not Available,2008,Eric Harvey,Contributor,2008-03-27,6.6,2008.0,2008,1,5145
12957,Tift Merritt,Another Country,Rock,Fantasy,Not Available,2008,Joshua Love,Contributor,2008-03-26,5.0,2008.0,2008,1,3527
12958,Grand Ole Party,Humanimals,Rock,DH,Not Available,2008,Eric Harvey,Contributor,2008-03-26,6.3,2008.0,2008,1,3791
12959,Bauhaus,Go Away White,Rock,Cooking Vinyl,Not Available,2008,D. Shawn Bosler,Not Available,2008-03-26,7.5,2008.0,2008,1,2956
12961,Gnarls Barkley,The Odd Couple,Rap,Atlantic,Not Available,2008,Nitsuh Abebe,Contributor,2008-03-26,7.2,2008.0,2008,1,4257
12962,White Hinterland,Phylactery Factory,Rock,Dead Oceans,Not Available,2008,Stephen M. Deusner,Contributor,2008-03-25,5.8,2008.0,2008,1,3475
12963,Howlin Rain,Magnificent Fiend,Rock,Birdman,Not Available,2008,Andrew Gaerig,Contributor,2008-03-25,6.0,2008.0,2008,1,3779
12965,"Does It Offend You, Yeah?",You Have No Idea What You Are Getting Yourself Into,Electronic,Virgin,Not Available,2008,Tom Ewing,Contributor,2008-03-25,2.3,2008.0,2008,1,3025
12966,Destroyer,Trouble in Dreams,Rock,Merge,Not Available,2008,William Bowers,Contributor,2008-03-25,7.7,2008.0,2008,1,5108
12967,Mike Doughty,Golden Delicious,Rock,ATO,Not Available,2008,Ben Westhoff,Contributor,2008-03-24,5.0,2008.0,2008,1,3647
12968,Danava,UnonoU,Metal,Kemado,Not Available,2008,Robbie Mackey,Not Available,2008-03-24,7.3,2008.0,2008,1,2651
12969,Adam Green,Sixes & Sevens,Rock,Rough Trade,Not Available,2008,Rebecca Raber,Not Available,2008-03-24,7.4,2008.0,2008,1,3384
12970,Retribution Gospel Choir,Retribution Gospel Choir,Rock,Caldo Verde,Not Available,2008,Mike McGonigal,Contributor,2008-03-24,7.5,2008.0,2008,1,2835
12972,Dengue Fever,Venus on Earth,Rock,M80 Music,Not Available,2008,Mike Powell,Contributor,2008-03-21,4.0,2008.0,2008,1,3296
12973,Einstürzende Neubauten,Alles Wieder Offen,Electronic,Potomak,Not Available,2007,Brandon Stosuy,Contributor,2008-03-21,7.9,2007.0,2008,1,5731
12975,The Dodos,Visiter,Rock,Frenchkiss,Best new music,2008,Ian Cohen,Contributor,2008-03-21,8.5,2008.0,2008,1,2973
12976,Elf Power,In a Cave,Experimental,Ryko,Not Available,2008,Adam Moerder,Not Available,2008-03-21,5.9,2008.0,2008,1,2790
12977,Electric Six,I Shall Exterminate Everything Around Me That Restricts Me From Being the Master,Electronic,Metropolis,Not Available,2007,Roque Strew,Not Available,2008-03-20,5.6,2007.0,2008,1,3498
12978,Ocrilim,Annwn,Metal,Hydra Head,Not Available,2008,Grayson Currin,Contributor,2008-03-20,6.7,2008.0,2008,1,2516
12979,Fight Amp,Hungry for Nothing,Metal,Translation Loss,Not Available,2008,Cosmo Lee,Not Available,2008-03-20,7.8,2008.0,2008,1,2852
12980,We Are Scientists,Brain Thrust Mastery,Electronic,Virgin,Not Available,2008,Ian Cohen,Contributor,2008-03-20,5.3,2008.0,2008,1,2974
12981,The Kills,Midnight Boom,Electronic,Domino,Not Available,2008,Jason Crock,Not Available,2008-03-20,6.8,2008.0,2008,1,2974
12982,Shelby Lynne,Just a Little Lovin',Rock,Lost Highway,Not Available,2008,Joshua Klein,Not Available,2008-03-19,5.3,2008.0,2008,1,4560
12983,Amir ElSaffar,Two Rivers,Jazz,Pi,Not Available,2008,Joe Tangari,Contributor,2008-03-19,7.2,2008.0,2008,1,3674
12984,Marah,Angels of Destruction!,Rock,Yep Roc,Not Available,2008,Andrew Gaerig,Contributor,2008-03-19,6.9,2008.0,2008,1,3531
12985,DeVotchKa,A Mad & Faithful Telling,Rock,Anti-,Not Available,2008,William Bowers,Contributor,2008-03-19,7.7,2008.0,2008,1,4116
12986,Be Your Own Pet,Get Awkward,Electronic,XL,Not Available,2008,Nitsuh Abebe,Contributor,2008-03-19,7.8,2008.0,2008,1,4221
12988,Black Spade,To Serve With Love,Pop/R&B,Om Hip Hop,Not Available,2008,Ben Westhoff,Contributor,2008-03-18,7.7,2008.0,2008,1,2798
12989,These New Puritans,Beat Pyramid,Electronic,Domino,Not Available,2008,Jason Crock,Not Available,2008-03-18,7.5,2008.0,2008,1,2795
12990,Elvis Costello,This Year's Model: Deluxe Edition,Rock,Interscope,Not Available,2008,Matt LeMay,Contributor,2008-03-18,7.0,2008.0,2008,0,3218
12991,Chatham County Line,IV,Folk/Country,Yep Roc,Not Available,2008,Joe Tangari,Contributor,2008-03-18,7.4,2008.0,2008,1,2784
12992,The Big Sleep,Sleep Forever,Pop/R&B,Frenchkiss,Not Available,2008,Adam Moerder,Not Available,2008-03-17,5.3,2008.0,2008,1,2680
12993,Ministry,The Last Sucker,Electronic,Megaforce,Not Available,2007,Brandon Stosuy,Contributor,2008-03-17,6.9,2007.0,2008,1,4521
12994,Ghost,Overture: Live in Nippon Yusen Soko 2006,Metal,Drag City,Not Available,2007,Roque Strew,Not Available,2008-03-17,7.6,2007.0,2008,1,3652
12995,Crystal Castles,Crystal Castles,Electronic,Last Gang,Not Available,2008,Ian Cohen,Contributor,2008-03-17,7.8,2008.0,2008,1,2862
12996,Fuck Buttons,Street Horrrsing,Electronic,ATP,Best new music,2008,Marc Masters,Contributor,2008-03-17,8.6,2008.0,2008,1,3126
12998,Richard Youngs,Autumn Response,Experimental,Jagjaguwar,Not Available,2007,Douglas Wolk,Contributor,2008-03-14,7.4,2007.0,2008,1,2927
12999,The LK,The LK vs. the Snow,Rock,Kora,Not Available,Not Available,Joe Tangari,Contributor,2008-03-14,7.9,,2008,0,2782
13000,Snoop Dogg,Ego Trippin',Rap,Geffen,Not Available,2008,Tom Breihan,Contributor,2008-03-14,6.6,2008.0,2008,1,5398
13001,Neon Neon,Stainless Style,Electronic,Lex,Not Available,2008,Marc Hogan,Senior Staff Writer,2008-03-14,7.7,2008.0,2008,1,4476
13002,The Slits,Return of the Giant Slits,Rock,CBS,Not Available,1981/2007,David Raposa,Contributor,2008-03-13,7.4,1981.0,2008,0,4106
13003,Grand Archives,Grand Archives,Rock,Sub Pop,Not Available,2008,Ian Cohen,Contributor,2008-03-13,7.8,2008.0,2008,1,2602
13004,A Weather,Cove,Rock,Team Love,Not Available,2008,Rebecca Raber,Not Available,2008-03-13,7.9,2008.0,2008,1,3370
13005,Plants and Animals,Parc Avenue,Rock,Secret City,Not Available,2008,Rebecca Raber,Not Available,2008-03-13,8.0,2008.0,2008,1,4037
13007,No Kids,Come Into My House,Rock,Tomlab,Not Available,2008,Marc Hogan,Senior Staff Writer,2008-03-12,6.1,2008.0,2008,1,3337
13009,Ssion,Fool's Gold,Rock,Self-released,Not Available,2007/2008,Eric Harvey,Contributor,2008-03-12,7.6,2007.0,2008,1,3989
13010,Whiskeytown,Strangers Almanac: Deluxe Edition,Rock,Outpost,Not Available,1997/2008,Stephen M. Deusner,Contributor,2008-03-12,6.3,1997.0,2008,0,5526
13011,Hercules and Love Affair,Hercules and Love Affair,Electronic,DFA,Best new music,2008,Philip Sherburne,Contributing Editor,2008-03-12,9.1,2008.0,2008,1,6086
13012,Eric Matthews,The Imagination Stage,Folk/Country,Empyrean,Not Available,2008,Joe Tangari,Contributor,2008-03-11,5.1,2008.0,2008,1,2992
